2026-06-05 12:22:28,315 semantic_segmentation INFO: Using 1 GPUs
2026-06-05 12:22:28,315 semantic_segmentation INFO: Namespace(teacher_model='deeplabv3', student_model='deeplabv3_mobilenet_ssseg', student_backbone='mobilenetv3_small', teacher_backbone='resnet101', dataset='voc', data='/workspace/covar+cirkd/CIRKD-main/dataset/VOCAug/', crop_size=[512, 512], workers=8, ignore_label=-1, aux=False, batch_size=16, start_epoch=0, max_iterations=10000, lr=0.02, momentum=0.9, weight_decay=0.0001, optimizer_type='sgd', pixel_memory_size=20000, region_memory_size=2000, channel_memory_size=10000, region_contrast_size=1024, pixel_contrast_size=4096, channel_contrast_size=2048, kd_temperature=1.0, contrast_kd_temperature=1.0, contrast_temperature=0.1, use_covar=True, covar_temp_mode='calib_conf', covar_temp_base=1.0, covar_ref_temp=1.0, covar_temp_alpha=0.5, covar_temp_min=1.0, covar_temp_max=4.0, covar_kd_temp_power=0.0, covar_grad_eta=0.6, covar_grad_max_iter=8, covar_a=None, covar_newton_hessian_eps=1e-05, covar_newton_max_step=0.25, covar_grad_converge_thresh=0.01, covar_grad_detail_interval=100, enable_visualizations=False, noise_plot_interval=10000, noise_mc_times=20, noise_plot_samples=1000, noise_single_image_pixels=-1, noise_single_image_seed=1234, noise_min_delta_p2=0.001, zstar_label_eps=0.0001, gradvar_plot_interval=10000, gradvar_plot_samples=1000, g2_rtt_plot_interval=10000, g2_rtt_plot_samples=1000, lambda_kd=1.0, lambda_fitnet=10.0, lambda_channel_kd=100.0, lambda_minibatch_pixel=1.0, lambda_minibatch_channel=1.0, lambda_memory_pixel=0.1, lambda_memory_region=0.1, lambda_memory_channel=0.1, gpu_id='0', no_cuda=False, local_rank=0, resume=None, save_dir='/workspace/covar+cirkd/CIRKD-main/data/winycg/checkpoints/cirkd_checkpoints/voc/covar_calib_conf/03_calib_gamma0_tmax4', save_dir_name='03_calib_gamma0_tmax4', save_epoch=10, log_iter=10, save_per_iters=800, val_per_iters=800, topk_checkpoints=5, teacher_pretrained_base='None', teacher_pretrained='/workspace/covar+cirkd/CIRKD-main/data/winycg/cirkd/teachers/deeplabv3_resnet101_voc_best_model.pth', student_pretrained_base='/workspace/covar+cirkd/CIRKD-main/data/winycg/imagenet_pretrained/mobilenet_v3_small-47085aa1.pth', student_pretrained='None', val_epoch=1, skip_val=False, num_gpus=1, distributed=False, device='cuda')
2026-06-05 12:22:31,578 semantic_segmentation INFO: Start training, Total Iterations 10000
2026-06-05 12:22:46,754 semantic_segmentation INFO: Iters: 10/10000 || Lr: 0.019984 || Task Loss: 1.3557 || KD Loss: 1.0565 || Mini-batch p2p Loss: 0.9803 || Memory p2p Loss: 0.1753 || Memory p2r Loss: 0.2212 || Mini-batch c2c Loss: 1.5945 || Memory c2c Loss: 0.1419 || Channel MSE Loss: 0.4334 || Fitnet Loss: 1.8241 || T_mean: 1.3919 (d-0.0420) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9794/0.3356/1.0000 || v(mean/min/max): 2.4892e-04/3.6663e-17/1.1810e-02 || r(mean/min/max): 2.0261e-01/5.3853e-07/5.4182e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.4, inner 0.5) || err(logc): 6.63e-02/2.95e-05 || c0/tgt/cf: 0.9794/0.9194/0.9293 || Tq10/50/90: 1.000/1.102/2.179 || Tmax: 5.8% || Cost Time: 0:00:15 || Estimated Time: 4:10:14
2026-06-05 12:22:59,824 semantic_segmentation INFO: Iters: 20/10000 || Lr: 0.019966 || Task Loss: 2.0185 || KD Loss: 1.6978 || Mini-batch p2p Loss: 0.6901 || Memory p2p Loss: 0.1921 || Memory p2r Loss: 0.0964 || Mini-batch c2c Loss: 0.9703 || Memory c2c Loss: 0.1697 || Channel MSE Loss: 0.3377 || Fitnet Loss: 1.1990 || T_mean: 1.3827 (d+0.0727) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9802/0.3099/1.0000 || v(mean/min/max): 2.4642e-04/1.8034e-16/1.1839e-02 || r(mean/min/max): 1.9501e-01/5.3230e-07/5.4298e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.1, inner 0.5) || err(logc): 6.27e-02/2.74e-05 || c0/tgt/cf: 0.9802/0.9249/0.9339 || Tq10/50/90: 1.000/1.130/2.005 || Tmax: 5.4% || Cost Time: 0:00:28 || Estimated Time: 3:53:41
2026-06-05 12:23:12,905 semantic_segmentation INFO: Iters: 30/10000 || Lr: 0.019948 || Task Loss: 1.8563 || KD Loss: 1.4569 || Mini-batch p2p Loss: 0.5919 || Memory p2p Loss: 0.1701 || Memory p2r Loss: 0.0728 || Mini-batch c2c Loss: 0.9615 || Memory c2c Loss: 0.1621 || Channel MSE Loss: 0.3221 || Fitnet Loss: 1.2744 || T_mean: 1.4632 (d+0.0821) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9750/0.3290/1.0000 || v(mean/min/max): 2.8832e-04/1.3595e-16/1.1850e-02 || r(mean/min/max): 2.3439e-01/4.4514e-07/5.4350e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.1, inner 0.5) || err(logc): 7.32e-02/3.69e-05 || c0/tgt/cf: 0.9750/0.9051/0.9158 || Tq10/50/90: 1.000/1.165/2.416 || Tmax: 6.6% || Cost Time: 0:00:41 || Estimated Time: 3:48:06
2026-06-05 12:23:26,022 semantic_segmentation INFO: Iters: 40/10000 || Lr: 0.019930 || Task Loss: 1.3875 || KD Loss: 1.1762 || Mini-batch p2p Loss: 0.6229 || Memory p2p Loss: 0.1296 || Memory p2r Loss: 0.0807 || Mini-batch c2c Loss: 1.0103 || Memory c2c Loss: 0.1540 || Channel MSE Loss: 0.3121 || Fitnet Loss: 1.0807 || T_mean: 1.3228 (d-0.0284) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9865/0.3805/1.0000 || v(mean/min/max): 1.6277e-04/2.5570e-16/1.1810e-02 || r(mean/min/max): 1.3799e-01/5.9158e-07/5.4216e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 4.67e-02/2.61e-05 || c0/tgt/cf: 0.9865/0.9443/0.9515 || Tq10/50/90: 1.000/1.131/1.721 || Tmax: 4.0% || Cost Time: 0:00:54 || Estimated Time: 3:45:20
2026-06-05 12:23:39,288 semantic_segmentation INFO: Iters: 50/10000 || Lr: 0.019912 || Task Loss: 1.5360 || KD Loss: 1.2384 || Mini-batch p2p Loss: 0.5178 || Memory p2p Loss: 0.1453 || Memory p2r Loss: 0.1566 || Mini-batch c2c Loss: 0.9368 || Memory c2c Loss: 0.1453 || Channel MSE Loss: 0.3079 || Fitnet Loss: 1.0401 || T_mean: 1.4069 (d+0.0366) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9757/0.3200/1.0000 || v(mean/min/max): 2.7441e-04/7.7954e-17/1.1859e-02 || r(mean/min/max): 2.1611e-01/4.5691e-07/5.4378e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 6.47e-02/3.31e-05 || c0/tgt/cf: 0.9757/0.9128/0.9218 || Tq10/50/90: 1.000/1.119/2.176 || Tmax: 5.9% || Cost Time: 0:01:07 || Estimated Time: 3:44:05
2026-06-05 12:23:52,528 semantic_segmentation INFO: Iters: 60/10000 || Lr: 0.019894 || Task Loss: 1.5411 || KD Loss: 1.2548 || Mini-batch p2p Loss: 0.5448 || Memory p2p Loss: 0.1037 || Memory p2r Loss: 0.1133 || Mini-batch c2c Loss: 0.9030 || Memory c2c Loss: 0.1259 || Channel MSE Loss: 0.2934 || Fitnet Loss: 0.8428 || T_mean: 1.3891 (d-0.0265) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9796/0.2322/1.0000 || v(mean/min/max): 2.3496e-04/6.0081e-17/1.1836e-02 || r(mean/min/max): 1.9558e-01/4.7618e-07/5.4323e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 6.06e-02/3.24e-05 || c0/tgt/cf: 0.9796/0.9200/0.9289 || Tq10/50/90: 1.000/1.121/2.123 || Tmax: 5.5% || Cost Time: 0:01:20 || Estimated Time: 3:43:07
2026-06-05 12:24:05,764 semantic_segmentation INFO: Iters: 70/10000 || Lr: 0.019876 || Task Loss: 1.0954 || KD Loss: 0.9437 || Mini-batch p2p Loss: 0.4691 || Memory p2p Loss: 0.1286 || Memory p2r Loss: 0.1374 || Mini-batch c2c Loss: 0.9419 || Memory c2c Loss: 0.1493 || Channel MSE Loss: 0.3003 || Fitnet Loss: 0.9045 || T_mean: 1.3716 (d-0.0342) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9803/0.3511/1.0000 || v(mean/min/max): 2.4158e-04/3.3442e-16/1.1827e-02 || r(mean/min/max): 1.8898e-01/5.0766e-07/5.4206e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 6.33e-02/2.43e-05 || c0/tgt/cf: 0.9803/0.9269/0.9362 || Tq10/50/90: 1.000/1.133/1.928 || Tmax: 5.4% || Cost Time: 0:01:34 || Estimated Time: 3:42:20
2026-06-05 12:24:19,014 semantic_segmentation INFO: Iters: 80/10000 || Lr: 0.019858 || Task Loss: 1.3217 || KD Loss: 1.0376 || Mini-batch p2p Loss: 0.5018 || Memory p2p Loss: 0.1220 || Memory p2r Loss: 0.1301 || Mini-batch c2c Loss: 0.9390 || Memory c2c Loss: 0.1390 || Channel MSE Loss: 0.2956 || Fitnet Loss: 0.9813 || T_mean: 1.4366 (d+0.1050) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9767/0.3567/1.0000 || v(mean/min/max): 2.7641e-04/7.8361e-17/1.1819e-02 || r(mean/min/max): 2.2473e-01/4.3771e-07/5.4211e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 7.29e-02/3.42e-05 || c0/tgt/cf: 0.9767/0.9098/0.9208 || Tq10/50/90: 1.000/1.130/2.386 || Tmax: 6.4% || Cost Time: 0:01:47 || Estimated Time: 3:41:44
2026-06-05 12:24:32,250 semantic_segmentation INFO: Iters: 90/10000 || Lr: 0.019840 || Task Loss: 0.9781 || KD Loss: 0.8157 || Mini-batch p2p Loss: 0.5389 || Memory p2p Loss: 0.0946 || Memory p2r Loss: 0.0979 || Mini-batch c2c Loss: 0.8287 || Memory c2c Loss: 0.1078 || Channel MSE Loss: 0.2721 || Fitnet Loss: 0.8385 || T_mean: 1.3806 (d-0.1182) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9813/0.3413/1.0000 || v(mean/min/max): 2.2333e-04/2.9529e-16/1.1791e-02 || r(mean/min/max): 1.8368e-01/5.7629e-07/5.4130e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 3.9ms(avg 4.0, inner 0.5) || err(logc): 5.86e-02/3.23e-05 || c0/tgt/cf: 0.9813/0.9259/0.9346 || Tq10/50/90: 1.000/1.118/2.042 || Tmax: 5.1% || Cost Time: 0:02:00 || Estimated Time: 3:41:11
2026-06-05 12:24:45,479 semantic_segmentation INFO: Iters: 100/10000 || Lr: 0.019822 || Task Loss: 1.4429 || KD Loss: 1.1783 || Mini-batch p2p Loss: 0.4290 || Memory p2p Loss: 0.1270 || Memory p2r Loss: 0.1315 || Mini-batch c2c Loss: 0.9028 || Memory c2c Loss: 0.1275 || Channel MSE Loss: 0.2768 || Fitnet Loss: 0.9651 || T_mean: 1.3799 (d-0.0913) || T_min: 1.0000 || T_max: 4.0000 || mc(mean/min/max): 0.9826/0.3537/1.0000 || v(mean/min/max): 1.9781e-04/5.7289e-17/1.1861e-02 || r(mean/min/max): 1.6977e-01/4.9921e-07/5.4368e+00 || a(mean/min/max): 200.0000/200.0000/200.0000 || CalibT: 14.0ms(avg 4.1, inner 1.8) || err(logc): 5.15e-02/3.21e-05 || c0/tgt/cf: 0.9826/0.9285/0.9361 || Tq10/50/90: 1.000/1.145/1.949 || Tmax: 4.5% || Cost Time: 0:02:13 || Estimated Time: 3:40:41
2026-06-05 12:24:45,480 semantic_segmentation INFO: CalibConfTemp Detail @ 100 || time: 14.03ms || inner: 1.75ms x 8 || a: 200.000 || T mean/q10/q50/q90/max: 1.3799/1.0000/1.1453/1.9487/4.0000 || c0 target final mean: 0.9826/0.9285/0.9361 || r0 mean/p95/max: 0.1698/0.9946/5.4368 || v0 mean/p95/max: 1.9781e-04/4.5894e-04/1.1861e-02 || err(logc) all mean/p95/max: 5.153e-02/2.416e-04/2.047e+00 || active mean/p95/max: 3.211e-05/1.685e-04/1.525e-03 || active/unreachable/identity: 65.53%/4.53%/29.94% || clamp[min/max]: 29.94%/4.53% || NaN(T): 0 || Inf(T): 0
