stage,temperature,oracle_count,oracle_fraction,region_count,mean_oracle_gain,median_oracle_gain,mean_oracle_margin,positive_oracle_gain_fraction
early,0.5,5024,0.5416711590296496,9275,0.02066373267542284,0.0062495742233530166,0.0013176036410247395,0.976388140161725
early,0.75,1696,0.18285714285714286,9275,0.02066373267542284,0.0062495742233530166,0.0013176036410247395,0.976388140161725
early,1.0,729,0.07859838274932615,9275,0.02066373267542284,0.0062495742233530166,0.0013176036410247395,0.976388140161725
early,1.25,325,0.03504043126684636,9275,0.02066373267542284,0.0062495742233530166,0.0013176036410247395,0.976388140161725
early,1.5,446,0.04808625336927224,9275,0.02066373267542284,0.0062495742233530166,0.0013176036410247395,0.976388140161725
early,2.0,1055,0.11374663072776281,9275,0.02066373267542284,0.0062495742233530166,0.0013176036410247395,0.976388140161725
middle,0.5,5521,0.595256064690027,9275,0.014002257709231492,0.003167463140562177,0.0009196222945643512,0.9437196765498652
middle,0.75,1747,0.188355795148248,9275,0.014002257709231492,0.003167463140562177,0.0009196222945643512,0.9437196765498652
middle,1.0,525,0.05660377358490566,9275,0.014002257709231492,0.003167463140562177,0.0009196222945643512,0.9437196765498652
middle,1.25,244,0.026307277628032345,9275,0.014002257709231492,0.003167463140562177,0.0009196222945643512,0.9437196765498652
middle,1.5,342,0.0368733153638814,9275,0.014002257709231492,0.003167463140562177,0.0009196222945643512,0.9437196765498652
middle,2.0,896,0.09660377358490566,9275,0.014002257709231492,0.003167463140562177,0.0009196222945643512,0.9437196765498652
late,0.5,5712,0.6158490566037735,9275,0.011400675810980343,0.0017805183015298098,0.0010289847164495771,0.9319676549865229
late,0.75,1618,0.17444743935309973,9275,0.011400675810980343,0.0017805183015298098,0.0010289847164495771,0.9319676549865229
late,1.0,460,0.04959568733153639,9275,0.011400675810980343,0.0017805183015298098,0.0010289847164495771,0.9319676549865229
late,1.25,253,0.027277628032345014,9275,0.011400675810980343,0.0017805183015298098,0.0010289847164495771,0.9319676549865229
late,1.5,332,0.035795148247978435,9275,0.011400675810980343,0.0017805183015298098,0.0010289847164495771,0.9319676549865229
late,2.0,900,0.09703504043126684,9275,0.011400675810980343,0.0017805183015298098,0.0010289847164495771,0.9319676549865229
