scope,eta,image_count,region_count,mean_spearman,median_spearman,p_spearman_ge_0_9
early,0.1,30,1413,0.9876251137397636,1.0,0.9695682944090588
early,0.03,30,1413,0.9933272672126174,1.0,0.9844302901627743
early,0.01,30,1413,0.9967647356182389,1.0,0.9950460014154282
middle,0.1,30,1413,0.9901324436356284,1.0,0.9766454352441614
middle,0.03,30,1413,0.9960772419371147,1.0,0.9936305732484076
middle,0.01,30,1413,0.9975735517136791,1.0,0.9985845718329794
late,0.1,30,1413,0.9927206551410374,1.0,0.9893842887473461
late,0.03,30,1413,0.9958750379132545,1.0,0.9936305732484076
late,0.01,30,1413,0.9978161965423112,1.0,0.997169143665959
overall,0.1,30,4239,0.9901594041721431,1.0,0.9785326728001887
overall,0.03,30,4239,0.995093182354329,1.0,0.9905638122198632
overall,0.01,30,4239,0.9973848279580765,1.0,0.9969332389714556
