execution_protocol,seed,temperature,iteration,miou_percent,pixacc_percent
single_gpu,1234,0.25,20000,59.62289,90.256314
single_gpu,1234,0.25,40000,61.924523,90.789426
single_gpu,1234,0.25,60000,67.492074,92.239994
single_gpu,1234,0.25,80000,69.480413,92.644383
single_gpu,1234,0.5,20000,59.929723,90.377705
single_gpu,1234,0.5,40000,60.579044,90.143427
single_gpu,1234,0.5,60000,67.794269,92.233316
single_gpu,1234,0.5,80000,68.759316,92.578093
single_gpu,1234,1.0,20000,56.869495,89.645341
single_gpu,1234,1.0,40000,62.359279,90.831698
single_gpu,1234,1.0,60000,65.753555,91.856583
single_gpu,1234,1.0,80000,67.800862,92.295698
single_gpu,1234,1.5,20000,59.353191,90.187252
single_gpu,1234,1.5,40000,61.694688,90.682643
single_gpu,1234,1.5,60000,67.097867,92.024603
single_gpu,1234,1.5,80000,69.165152,92.602439
single_gpu,1234,2.0,20000,60.939342,90.542917
single_gpu,1234,2.0,40000,65.211493,91.467589
single_gpu,1234,2.0,60000,66.531247,91.821841
single_gpu,1234,2.0,80000,69.335973,92.637741
single_gpu,2025,0.25,20000,58.26723,89.911134
single_gpu,2025,0.25,40000,63.677323,90.798932
single_gpu,2025,0.25,60000,65.159625,91.771337
single_gpu,2025,0.25,80000,68.664455,92.603017
single_gpu,2025,0.5,20000,61.789423,90.738842
single_gpu,2025,0.5,40000,60.922652,90.209099
single_gpu,2025,0.5,60000,65.82191,91.733834
single_gpu,2025,0.5,80000,69.214028,92.599474
single_gpu,2025,1.0,20000,59.115952,89.956797
single_gpu,2025,1.0,40000,55.225861,88.72836
single_gpu,2025,1.0,60000,66.291106,91.87701
single_gpu,2025,1.0,80000,68.012673,92.332796
single_gpu,2025,1.5,20000,58.979142,89.937538
single_gpu,2025,1.5,40000,60.132855,89.972849
single_gpu,2025,1.5,60000,65.769517,91.750507
single_gpu,2025,1.5,80000,68.912899,92.395948
single_gpu,2025,2.0,20000,61.017811,90.291515
single_gpu,2025,2.0,40000,62.209457,90.370608
single_gpu,2025,2.0,60000,66.855758,91.978389
single_gpu,2025,2.0,80000,68.994683,92.527855
single_gpu,3407,0.25,20000,62.363464,91.000455
single_gpu,3407,0.25,40000,62.869537,90.994414
single_gpu,3407,0.25,60000,67.041171,92.254297
single_gpu,3407,0.25,80000,68.4623,92.509384
single_gpu,3407,0.5,20000,60.983914,90.320084
single_gpu,3407,0.5,40000,61.737239,90.771385
single_gpu,3407,0.5,60000,67.244428,92.167217
single_gpu,3407,0.5,80000,68.115371,92.346626
single_gpu,3407,1.0,20000,61.890501,90.80529
single_gpu,3407,1.0,40000,63.001603,91.029453
single_gpu,3407,1.0,60000,67.096633,92.074525
single_gpu,3407,1.0,80000,69.02948,92.604213
single_gpu,3407,1.5,20000,62.498707,91.015049
single_gpu,3407,1.5,40000,63.843375,91.050041
single_gpu,3407,1.5,60000,67.157447,92.060082
single_gpu,3407,1.5,80000,69.320095,92.499731
single_gpu,3407,2.0,20000,62.53199,90.723336
single_gpu,3407,2.0,40000,63.585877,90.94296
single_gpu,3407,2.0,60000,67.727947,92.201586
single_gpu,3407,2.0,80000,69.586152,92.538265
